external_id,status,transcript_source,words,n_chapters,error
48cfbLUtkog,ok,youtube_auto,1570,7,
NCeRd-OZyhU,ok,youtube_auto,5465,0,
IFhKB5zHWFg,partial,,0,0,"transcript: TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=IFhKB5zHWFg! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
mKJSGkfG3zI,failed,,,0,,DownloadError: [0;31mERROR:[0m [youtube] mKJSGkfG3zI: Requested format is not available. Use --list-formats for a list of available formats
6IPdfw08qDM,failed,,,0,,DownloadError: [0;31mERROR:[0m [youtube] 6IPdfw08qDM: Requested format is not available. Use --list-formats for a list of available formats
pnaZy15W4wA,failed,,,0,,DownloadError: [0;31mERROR:[0m [youtube] pnaZy15W4wA: Requested format is not available. Use --list-formats for a list of available formats
J69zkLXjNVg,ok,youtube_auto,es,495,0,
kgaS_kikD2E,ok,youtube_auto,es,6169,0,
rqco3InjPSs,no_subs,,,0,0,"subs_api: TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=rqco3InjPSs! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
kdZvQppRYuU,no_subs,,,0,0,"subs_api: TranscriptsDisabled: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=kdZvQppRYuU! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
F8oSnscyq58,ok,youtube_auto,es,1992,0,
xydz3tzNrgk,ok,youtube_auto,es,2682,0,
46359Btp80g,ok,youtube_auto,es,9042,0,
